time	V(in)	V(out)	V(x1:n012)	V(x1:n013)
0.000000000000000e+000	0.000000e+000	2.800000e+000	1.080264e-008	1.080264e-008
1.855468657882618e-015	2.968750e-006	2.800000e+000	2.185306e-008	1.190323e-008
3.710937315765236e-015	5.937500e-006	2.800000e+000	3.342129e-008	1.300753e-008
7.421874631530472e-015	1.187500e-005	2.800000e+000	5.841112e-008	1.523280e-008
1.484374926306094e-014	2.375000e-005	2.800000e+000	1.108690e-007	1.971951e-008
2.841517716071667e-013	4.546428e-004	2.800000e+000	1.977670e-006	2.083901e-007
5.534597939512725e-013	8.855356e-004	2.800000e+000	3.760658e-006	3.899916e-007
8.227678162953783e-013	1.316428e-003	2.800000e+000	5.459834e-006	5.645240e-007
1.092075838639484e-012	1.747321e-003	2.800000e+000	7.075197e-006	7.319873e-007
1.361383860983590e-012	2.178214e-003	2.800000e+000	8.606748e-006	8.923815e-007
1.630691883327696e-012	2.609107e-003	2.800000e+000	1.005449e-005	1.045707e-006
1.899999905671801e-012	3.040000e-003	2.800000e+000	1.141841e-005	1.191962e-006
3.799999811343602e-012	6.080000e-003	2.800000e+000	1.942569e-005	2.054662e-006
7.599999622687204e-012	1.216000e-002	2.800000e+000	2.904054e-005	3.111845e-006
1.519999924537441e-011	2.432000e-002	2.800000e+000	3.534806e-005	3.737567e-006
3.039999849074881e-011	4.864000e-002	2.800000e+000	3.173109e-005	2.951265e-006
6.079999698149763e-011	9.728000e-002	2.800000e+000	1.863731e-005	8.290884e-007
1.215999939629953e-010	1.945600e-001	2.800000e+000	5.824166e-006	-7.182471e-007
2.431999879259905e-010	3.891200e-001	2.800000e+000	-5.203712e-006	-7.447102e-007
3.144531250000001e-010	5.031250e-001	2.800000e+000	-2.097695e-005	-1.570934e-006
3.574937258519810e-010	5.719900e-001	2.800000e+000	-5.479808e-005	-4.027687e-006
4.139187982960382e-010	6.622701e-001	2.800000e+000	-1.408350e-004	-9.908747e-006
5.000000000000000e-010	8.000000e-001	2.800000e+000	-3.038147e-004	-2.013868e-005
5.086081201703962e-010	8.000000e-001	2.800000e+000	-3.045533e-004	-2.003832e-005
5.258243605111886e-010	8.000000e-001	2.800000e+000	-2.726516e-004	-1.775464e-005
5.602568411927733e-010	8.000000e-001	2.800000e+000	-1.875539e-004	-1.369200e-005
6.291218025559428e-010	8.000000e-001	2.800000e+000	-7.946638e-005	-6.798293e-006
7.198908409111137e-010	8.000000e-001	2.800000e+000	-1.730662e-005	1.349944e-005
8.194344149070187e-010	8.000000e-001	2.800000e+000	5.637890e-005	5.870069e-005
9.100140599940703e-010	8.000000e-001	2.800000e+000	1.468471e-004	1.166283e-004
1.025092159401032e-009	8.000000e-001	2.800000e+000	1.531329e-004	1.680187e-004
1.210639034401032e-009	8.000000e-001	2.800000e+000	4.773648e-005	2.360447e-004
1.396185909401032e-009	8.000000e-001	2.800000e+000	3.341496e-006	2.889789e-004
1.581566304879607e-009	8.000000e-001	2.800000e+000	7.560747e-008	2.396483e-004
1.767113179879607e-009	8.000000e-001	2.800000e+000	1.231177e-007	-4.017116e-003
1.952660054879607e-009	8.000000e-001	2.800000e+000	-1.395222e-007	-8.187548e-003
2.138206929879607e-009	8.000000e-001	2.800000e+000	2.514873e-007	1.148572e-001
2.323753804879607e-009	8.000000e-001	2.800000e+000	4.459293e-008	4.613102e-001
2.446693424579109e-009	8.000000e-001	2.800000e+000	-6.484483e-008	6.828556e-001
2.587803827655381e-009	8.000000e-001	2.800000e+000	2.742699e-007	7.823239e-001
2.696996227009109e-009	8.000000e-001	2.800000e+000	3.024658e-007	7.957842e-001
2.811001113368035e-009	8.000000e-001	2.799990e+000	5.969640e-008	7.984221e-001
2.950867043921741e-009	8.000000e-001	2.799775e+000	8.106151e-008	7.997665e-001
3.045861376275511e-009	8.000000e-001	2.799489e+000	3.549091e-008	7.999858e-001
3.167711920746826e-009	8.000000e-001	2.799768e+000	4.505103e-008	7.999800e-001
3.250513204198389e-009	8.000000e-001	2.800581e+000	4.807412e-008	7.999912e-001
3.324215333092041e-009	8.000000e-001	2.800737e+000	2.755221e-008	7.999844e-001
3.411948934435407e-009	8.000000e-001	2.800205e+000	2.638702e-008	7.999861e-001
